author,title,journal,vol,page,year_zh,year_en,doi,comment,Column1,_1,_2
"Yu Zhai, and Hui Li",Basis sets dependency in constructing spectroscopy-accuracy ab initio global electric dipole moment functions,Chin. J. Chem. Phys.,35,52,2022,2022,10.1063/1674-0068/cjcp2111244,(A paper invited for Prof. Nanquan Lou Special Issue),,,
"Yang Cong, Yu Zhai, Jitai Yang, Adam Grofe, Jiali Gao, and Hui Li",Quantum vibration perturbation approach with polyatomic probe in simulating infrared spectra,Phys. Chem. Chem. Phys.,24,1174,2022,2022,10.1039/D1CP04490G,,,,
"N. Dridi, C. Jellali, F. Hmida, Hui Li, F. Kwabia Tchana, X. Landsheere, K. Hammami, M. Rotger, H. Aroui","Line intensity parameters, He-broadening and line shift coefficients in the 2v<sub>2</sub><sup>0</sup> and 3v<sub>2</sub><sup>1</sup> - v<sub>2</sub><sup>1</sup> bands of OCS",Mol. Phys.,120,e2010821,2022,2022,10.1080/00268976.2021.2010821,,,,
*,,,,,2021,2021,,,,,
"Xiao-Long Zhang, Hui Li",Three-Dimensional ab initio Potential Energy Surface and Predicted Spectra for the CH<sub>4</sub>-Ne Complex,Chin. J. Chem. Phys.,34,874-882,2021,2021,10.1063/1674-0068/cjcp2110205,(A paper invited for John Z. H. Zhang Festschrift for celebrating his 60th birthday),,,
"You Li, Jingmin Liu, Jiarui Li, Yu Zhai, Jitai Yang, Zexing Qu, Hui Li",A new permutation-symmetry-adapted machine learning diabatization procedure and its application in MgH<sub>2</sub> system,J. Chem. Phys.,155,214102,2021,2021,10.1063/5.0072004,,,,
"Shanshan Xu, You Li, Donghan Wang, Chao Fang, Chengwei Luo, Jiankun Deng, LiHong Hu, Hui Li, Hongzhi Li",Efficient prediction for high precision CO‐N<sub>2</sub> potential energy surface by stacking ensemble DNN,J. Comput. Chem.,43,244,2021,2021,10.1002/jcc.26785,,,,
*,,,,,2020,2020,,,,,
"Lu Wang,Xiao-Long Zhang, Yu Zhai, Marcel Nooijen, Hui Li",Explicitly correlated ab initio potential energy surface and predicted rovibrational spectra for H<sub>2<sub>O–N<sub>2<sub> and D<sub>2<sub>O–N<sub>2<sub> complexes,J. Chem. Phys.,153,54303,2020,2020,10.1063/5.0009098,,,,
"Zhizhen Zhang, Hui Li, Kavish Kaup, Laidong Zhou, Pierre-Nicholas Roy, Linda F. Nazar",Targeting Superionic Conductivity by Turning on Anion Rotation at Room Temperature in Fast Ion Conductors,Matter,2,1667,2020,2020,10.1016/j.matt.2020.04.027,,,,
"Dan Hou, Ji-Tai Yang, Yu Zhai, Xiao-Long Zhang, Jing-Min Liu, Hui Li",Analytic intermolecular potential energy surface and first-principles prediction of the rotational profiles for a symmetric top ion-atom complex: A case study of H<sub>3</sub>O<sup>+</sup>–Ar,J. Chem. Phys.,152,214302,2020,2020,10.1063/5.0007691,,,,
*,,,,,2019,2019,,,,,
